Gene name,Mutated samples,Samples tested
KRAS_ENST00000311936,25008,72560
KRAS_ENST00000557334,24261,72560
KRAS,24260,72560
KRAS_ENST00000556131,23588,72560
TP53,8979,19247
BRAF,8880,85414
APC,6086,11827
TP53_ENST00000413465,5824,19247
TP53_ENST00000619485,5823,19247
TP53_ENST00000622645,5823,19247
TP53_ENST00000610292,5823,19247
TP53_ENST00000617185,5823,19247
TP53_ENST00000420246,5823,19247
TP53_ENST00000620739,5823,19247
TP53_ENST00000445888,5823,19247
TP53_ENST00000610538,5823,19247
TP53_ENST00000455263,5823,19247
TP53_ENST00000359597,5821,19247
TP53_ENST00000615910,5820,19247
TP53_ENST00000510385,5569,19247
TP53_ENST00000504290,5569,19247
TP53_ENST00000619186,5569,19247
TP53_ENST00000610623,5569,19247
TP53_ENST00000618944,5569,19247
TP53_ENST00000504937,5569,19247
APC_ENST00000508376,5551,11827
BRAF_ENST00000496384,4828,85414
BRAF_ENST00000644969,4826,85414
BRAF_ENST00000288602,4825,85414
PIK3CA,3268,22071
PIK3CA_ENST00000643187,2828,22071
TTN_ENST00000591111,1749,3333
TTN_ENST00000460472,1749,3333
TTN,1749,3333
TTN_ENST00000342992,1749,3333
TTN_ENST00000342175,1748,3333
TTN_ENST00000359218,1748,3333
TTN_ENST00000615779,1748,3333
PCDHA1,1377,2906
PCDHA1_ENST00000394633,1377,2906
PCDHA2,1335,2916
PCDHA3,1288,2916
PCDHGA1,1225,2775
PCDHA4_ENST00000512229,1224,2916
PCDHA4,1223,2916
PCDHGA2,1201,2754
PCDHA5_ENST00000529619,1161,2936
PCDHA5,1161,2936
PCDHGA3,1160,2775
PCDHGB1,1125,2743
PCDHA6_ENST00000527624,1105,2916
PCDHA6,1105,2916
FBXW7,1094,10207
PCDHGA4,1085,2743
PCDHGB2,1058,2743
SYNE1,1050,3522
SYNE1_ENST00000341594,1050,3522
SYNE1_ENST00000423061,1050,3522
PCDHA7,1042,2916
SMAD4,1036,9977
PCDHGA5,1022,2743
MUC16,990,3341
PCDHGB3,974,2743
SMAD4_ENST00000398417,964,9977
PCDHA8,962,2916
SMAD4_ENST00000588745,949,9977
PCDHGA6,920,2743
PCDHA9,884,2936
OBSCN,875,3337
OBSCN_ENST00000636875,875,3337
OBSCN_ENST00000366707,875,3337
OBSCN_ENST00000422127,875,3337
PCDHGA7,857,2743
FBXW7_ENST00000281708,845,10207
FBXW7_ENST00000603841,844,10207
FBXW7_ENST00000296555,814,10207
FBXW7_ENST00000393956,805,10207
FBXW7_ENST00000263981,805,10207
PCDHGB4,804,2743
TGFBR2_ENST00000295754,796,6393
PCDHA10,787,2915
PCDHA10_ENST00000506939,787,2915
OBSCN_ENST00000284548,776,3337
PCDHGA8,755,2743
PCDHGB5,697,2743
PCDHA11,686,2936
LRP1B,682,3524
PCDHGA9,656,2743
FAT4,644,2951
CSMD3,640,3555
CSMD3_ENST00000455883,637,3555
TTN_ENST00000360870,634,3333
TCF7L2_ENST00000369397,633,4999
