Genes	Pathway
APC	WNT signaling
KRAS	CRC drivers
TP53	CRC drivers
BRAF	CRC drivers
POLG	Mismatch repair
MLH1	Mismatch repair
MLH2	Mismatch repair
MLH3	Mismatch repair
MSH2	Mismatch repair
MSH3	Mismatch repair
MSH6	Mismatch repair
PMS1	Mismatch repair
PMS2	Mismatch repair
HMGB1	Mismatch repair
POLE	Mismatch repair
POLD1	Mismatch repair
POLD2	Mismatch repair
POLD3	Mismatch repair
POLD1	Mismatch repair
CCNH	Excision repair
CETN2	Excision repair
DDB1	Excision repair
ERCC2	Excision repair
ERCC3	Excision repair
ERCC4	Excision repair
ERCC5	Excision repair
ERCC6	Excision repair
ERCC8	Excision repair
LIG1	Excision repair
TFIIH	Excision repair
XPA	Excision repair
XPC	Excision repair
RAD23B	Excision repair
MNAT1	Excision repair
